locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,dayshours,Location
1575198,Park's Catering,Truck,9563000,NEWHALL ST: MENDELL ST to EVANS AVE (200 - 399),220 NEWHALL ST,5203040,5203,40,21MFF-00115,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,,"(37.743014249631514, -122.38446024493484)"
1735098,Think is Good Inc.,Truck,10454000,PINE ST: FRONT ST to BATTERY ST (100 - 199),100 PINE ST,262020,262,20,23MFF-00033,APPROVED,Lobster rolls: crab rolls: lobster burritos: crab burritos: chicken burritos: fish burritos: chicken burritos: poke bowls: soups: chips & soda.,,"(37.79264071673365, -122.39897033211076)"
1163792,"SOHOMEI, LLC",Truck,12583000,THOMAS MORE WAY: BROTHERHOOD WAY \ CHUMASERO DR to SAN FRANCISCO GOLF CLUB RD (1 - 99),1 THOMAS MORE WAY,7380027,7380,27,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,Mo-Fr:7AM-8AM/10AM-11AM/12PM-1PM,"(37.710003334289446, -122.47141191312888)"
1591822,Cochinita,Truck,1329000,24TH ST: UTAH ST to POTRERO AVE (2600 - 2699),2601 24TH ST,4264001,4264,1,22MFF-00020,EXPIRED,Panushos: Salbutes: Salad: Rice: Beans: Cochinita: etc.,,"(37.752822368121485, -122.4055319192157)"
1738310,San Francisco's Hometown Creamery,Truck,3528000,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),425 CALIFORNIA ST,260001,260,1,23MFF-00039,APPROVED,Ice Cream: Waffle Cones,,"(37.79279574157871, -122.40135328093122)"
963985,Singh Brothers Ice Cream,Truck,2710000,BANCROFT AVE: JENNINGS ST to KEITH ST (1500 - 1599),1562 BANCROFT AVE,4849006,4849,6,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA,Mo-Fr:1PM-2PM,"(37.725450702172296, -122.39199164141809)"
1568972,Fillmore Square,Truck,5543000,FILLMORE ST: TURK ST to EDDY ST (1200 - 1299),1290 FILLMORE ST,749019,749,19,21MFF-00101,EXPIRED,Breakfast and lunch items with a nod to various cultures,,"(37.78127594842663, -122.43184035948617)"
1793276,Giant Burrito,Truck,2800102,BAY SHORE BLVD: FLOWER ST to CORTLAND AVE (341 - 489) -- EAST --,353 BAY SHORE BLVD,5598030,5598,30,24MFF-00010,REQUESTED,Tacos: Burritos: Tostadas: Flautas: Tostadas: Tortas: Pozole Menudo,,"(37.74171783074393, -122.40541797744821)"
1514026,F & C Catering,Truck,12491000,TENNESSEE ST: TENNESSEE ST to 26TH ST (1500 - 1599),1500 TENNESSEE ST,4294012,4294,12,21MFF-00035,EXPIRED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad,,"(37.75224166848031, -122.38918854258944)"
1738313,San Francisco's Hometown Creamery,Truck,10456000,PINE ST: SANSOME ST to CENTURY PL (300 - 340),301 PINE ST,268001,268,1,23MFF-00040,APPROVED,Ice cream & Waffle cones,,"(37.79183426305553, -122.40127961659626)"
